Order ID,Buyer,Gig Title,Amount,Currency,Date,Type
FO214D17E8988,housewin,design an amazing  word art or put words in any shape,8.0,USD,2021-07-06,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-07-05,Order Revenue
FO3861B2DA41,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-07-05,Order Revenue
FO614F31E4584,monaeb100,design an amazing  word art or put words in any shape,8.0,USD,2021-07-04,Order Revenue
FO518EF1FF3C7,gambinga,design an amazing  word art or put words in any shape,16.0,USD,2021-07-02,Funds Cleared
Not Available,lisa2fort,Tip,4.0,USD,2021-07-02,Funds Cleared
FO510A24BE983,lisa2fort,do amazing and beautiful word art and word cloud art,56.0,USD,2021-07-02,Funds Cleared
FO2C773616C4,christmasoncres,design an amazing  word art or put words in any shape,14.4,USD,2021-06-29,Funds Cleared
FO710B8476F81,sonnguyen664,design an amazing  word art or put words in any shape,8.0,USD,2021-06-28,Order Revenue
FO61D0CB1C7C8,juicebox215,do amazing and beautiful word art and word cloud art,24.0,USD,2021-06-25,Funds Cleared
FO718E60FA3C5,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-06-25,Funds Cleared
Not Available,lisa2fort,Tip,8.0,USD,2021-06-22,Funds Cleared
FO21095A79F86,lisa2fort,do amazing and beautiful word art and word cloud art,24.0,USD,2021-06-22,Funds Cleared
Not Available,lisa2fort,Tip,4.0,USD,2021-06-18,Order Revenue
FO214D17E8988,housewin,design an amazing  word art or put words in any shape,8.0,USD,2021-06-18,Order Revenue
FO6108A470982,sysuleiman,do amazing word art word in shape or typography design,12.0,USD,2021-06-16,Funds Cleared
Not Available,housewin,Tip,8.0,USD,2021-06-15,Funds Cleared
Not Available,housewin,source file,4.0,USD,2021-06-15,Funds Cleared
FO618C421E3C6,housewin,design an amazing  word art or put words in any shape,4.0,USD,2021-06-15,Funds Cleared
FO510A24BE983,lisa2fort,do amazing and beautiful word art and word cloud art,56.0,USD,2021-06-15,Order Revenue
Not Available,housewin,Tip,8.0,USD,2021-06-14,Funds Cleared
Not Available,housewin,source file,4.0,USD,2021-06-14,Funds Cleared
Not Available,housewin,additional revision,4.0,USD,2021-06-14,Funds Cleared
FO3C620C6343,housewin,design an amazing  word art or put words in any shape,4.0,USD,2021-06-14,Funds Cleared
FO518EF1FF3C7,gambinga,design an amazing  word art or put words in any shape,16.0,USD,2021-06-14,Order Revenue
FO2C773616C4,christmasoncres,design an amazing  word art or put words in any shape,14.4,USD,2021-06-14,Order Revenue
FO214A55E0388,klynluxe,design an amazing  word art or put words in any shape,16.0,USD,2021-06-13,Funds Cleared
FO518EC454CC7,kareembrown799,do amazing and beautiful word art and word cloud art,-4.0,USD,2021-06-13,Cancelled Payment Refunded to Buyer
FO518EC454CC7,kareembrown799,do amazing and beautiful word art and word cloud art,4.0,USD,2021-06-13,Order Revenue
FO710806E1D81,rodeoroper,design an amazing  word art or put words in any shape,4.0,USD,2021-06-10,Funds Cleared
FO61D0CB1C7C8,juicebox215,do amazing and beautiful word art and word cloud art,24.0,USD,2021-06-10,Order Revenue
FO718E60FA3C5,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-06-10,Order Revenue
FO141F1A1381,airs1228,design an amazing  word art or put words in any shape,4.0,USD,2021-06-09,Funds Cleared
Not Available,lisa2fort,Tip,8.0,USD,2021-06-08,Order Revenue
FO21095A79F86,lisa2fort,do amazing and beautiful word art and word cloud art,24.0,USD,2021-06-08,Order Revenue
FO11076FF5187,sonnguyen664,design an amazing  word art or put words in any shape,16.0,USD,2021-06-07,Funds Cleared
Not Available,sonnguyen664,Tip,4.0,USD,2021-06-05,Funds Cleared
FO51494103585,sonnguyen664,design an amazing  word art or put words in any shape,4.0,USD,2021-06-05,Funds Cleared
FO6108A470982,sysuleiman,do amazing word art word in shape or typography design,12.0,USD,2021-06-02,Order Revenue
Not Available,housewin,Tip,8.0,USD,2021-06-01,Order Revenue
Not Available,housewin,source file,4.0,USD,2021-06-01,Order Revenue
Not Available,housewin,Tip,8.0,USD,2021-05-31,Order Revenue
Not Available,housewin,source file,4.0,USD,2021-05-31,Order Revenue
FO61CBA73F0C8,gambinga,do amazing and beautiful word art and word cloud art,16.0,USD,2021-05-31,Funds Cleared
FO21483B07888,pearlineh,design an amazing  word art or put words in any shape,16.0,USD,2021-05-31,Funds Cleared
Not Available,housewin,additional revision,4.0,USD,2021-05-30,Order Revenue
FO214A55E0388,klynluxe,design an amazing  word art or put words in any shape,16.0,USD,2021-05-29,Order Revenue
Not Available,blewis12,Tip,8.0,USD,2021-05-29,Funds Cleared
FO51485175905,blewis12,do amazing and beautiful word art and word cloud art,16.0,USD,2021-05-29,Funds Cleared
FO618C421E3C6,housewin,design an amazing  word art or put words in any shape,4.0,USD,2021-05-28,Order Revenue
FO3C620C6343,housewin,design an amazing  word art or put words in any shape,4.0,USD,2021-05-28,Order Revenue
FO710806E1D81,rodeoroper,design an amazing  word art or put words in any shape,4.0,USD,2021-05-27,Order Revenue
FO7147BFF3B83,believersoutlet,design an amazing  word art or put words in any shape,4.0,USD,2021-05-26,Funds Cleared
FO61CAE150048,lovemygrind,design an amazing  word art or put words in any shape,4.0,USD,2021-05-25,Funds Cleared
FO141F1A1381,airs1228,design an amazing  word art or put words in any shape,4.0,USD,2021-05-25,Order Revenue
Not Available,hbt2010,Tip,4.0,USD,2021-05-24,Funds Cleared
FO820C1741708,hbt2010,do amazing and beautiful word art and word cloud art,8.0,USD,2021-05-24,Funds Cleared
Not Available,sonnguyen664,Tip,4.0,USD,2021-05-23,Funds Cleared
FO6105D90F982,sonnguyen664,design an amazing  word art or put words in any shape,8.0,USD,2021-05-23,Funds Cleared
FO11076FF5187,sonnguyen664,design an amazing  word art or put words in any shape,16.0,USD,2021-05-22,Order Revenue
Not Available,sonnguyen664,Tip,4.0,USD,2021-05-22,Order Revenue
FO51494103585,sonnguyen664,design an amazing  word art or put words in any shape,4.0,USD,2021-05-22,Order Revenue
Not Available,sonnguyen664,Tip,4.0,USD,2021-05-19,Funds Cleared
FO418826C1DC8,sonnguyen664,design an amazing  word art or put words in any shape,4.0,USD,2021-05-19,Funds Cleared
FO11053C6C387,rotesirrlicht,design an amazing  word art or put words in any shape,8.0,USD,2021-05-19,Funds Cleared
Not Available,tayabanoreen786,Not Available,374.0,USD,2021-05-18,Withdrawal Completed Successfully
Not Available,tayabanoreen786,Not Available,-374.0,USD,2021-05-18,Withdrawal Initiated
Not Available,blewis12,Tip,8.0,USD,2021-05-15,Order Revenue
FO61CBA73F0C8,gambinga,do amazing and beautiful word art and word cloud art,16.0,USD,2021-05-15,Order Revenue
FO51485175905,blewis12,do amazing and beautiful word art and word cloud art,16.0,USD,2021-05-15,Order Revenue
FO21483B07888,pearlineh,design an amazing  word art or put words in any shape,16.0,USD,2021-05-14,Order Revenue
FO1C398919C5,faustoq80,design an amazing  word art or put words in any shape,16.0,USD,2021-05-14,Funds Cleared
Not Available,sonnguyen664,Tip,4.0,USD,2021-05-11,Order Revenue
FO61CAE150048,lovemygrind,design an amazing  word art or put words in any shape,4.0,USD,2021-05-11,Order Revenue
FO7147BFF3B83,believersoutlet,design an amazing  word art or put words in any shape,4.0,USD,2021-05-11,Order Revenue
Not Available,hbt2010,Tip,4.0,USD,2021-05-10,Order Revenue
FO820C1741708,hbt2010,do amazing and beautiful word art and word cloud art,8.0,USD,2021-05-10,Order Revenue
FO6105D90F982,sonnguyen664,design an amazing  word art or put words in any shape,8.0,USD,2021-05-08,Order Revenue
Not Available,sonnguyen664,Tip,4.0,USD,2021-05-05,Order Revenue
FO418826C1DC8,sonnguyen664,design an amazing  word art or put words in any shape,4.0,USD,2021-05-05,Order Revenue
FO11053C6C387,rotesirrlicht,design an amazing  word art or put words in any shape,8.0,USD,2021-05-03,Order Revenue
FO1C398919C5,faustoq80,design an amazing  word art or put words in any shape,16.0,USD,2021-04-29,Order Revenue
FO2818895F42,journeyrobison,design an amazing  word art or put words in any shape,8.0,USD,2021-04-29,Funds Cleared
FO2818895F42,journeyrobison,design an amazing  word art or put words in any shape,8.0,USD,2021-04-15,Order Revenue
FO1807DDF143,fedagnt,do amazing word art word in shape or typography design,12.0,USD,2021-04-12,Funds Cleared
FO1100D65B787,stfsiddiq,design an amazing  word art or put words in any shape,4.0,USD,2021-04-11,Funds Cleared
